//Comment to disable
//Abyssalite,Katairite,
Aerogel,Aerogel,
//Algae,Algae,
Aluminum,Aluminum,
Aluminum,MoltenAluminum,
Aluminum,AluminumGas,
Aluminum Ore,AluminumOre,
//Bitumen,Bitumen,
//Bleach Stone,BleachStone,
//Brick,Brick,
//Brine,Brine,
//Brine Ice,BrineIce,
//Building Slab,Slabs,
//Carbon,MoltenCarbon,
//Carbon,CarbonGas,
//Carbon Dioxide,SolidCarbonDioxide,
//Carbon Dioxide,LiquidCarbonDioxide,
//Carbon Dioxide,CarbonDioxide,
//Carbon Fiber,CarbonFibre,
//Cement,Cement,
//Cement Mix,CementMix,
Ceramic,Ceramic,
//Chlorine,SolidChlorine,
//Chlorine,Chlorine,
//Chlorine,ChlorineGas,
Clay,Clay,
Coal,Carbon,
Cobalt,Cobalt,Spaced Out
//Cobalt,MoltenCobalt,Spaced Out
//Cobalt,CobaltGas,Spaced Out
Cobalt Ore,Cobaltite,Spaced Out
//Composition,COMPOSITION,Spaced Out
Copper,Copper,
//Copper,MoltenCopper,
//Copper,CopperGas,
Copper Ore,Cuprite,
//Corium,Corium,Spaced Out
//Crude Oil,SolidCrudeOil,
//Crude Oil,CrudeOil,
//Crushed Ice,CrushedIce,
//Crushed Rock,CrushedRock,
Depleted Uranium,DepletedUranium,Spaced Out
Diamond,Diamond,
Dirt,Dirt,
//Electrum,Electrum,
Enriched Uranium,EnrichedUranium,Spaced Out
//Ethanol,SolidEthanol,
//Ethanol,Ethanol,
//Ethanol,EthanolGas,
//Fertilizer,Fertilizer,
//Fossil,Fossil,
//Fullerene,Fullerene,
//Genetic Ooze,Creature,
Glass,Glass,
//Glass (Molten),MoltenGlass,
Gold,Gold,
//Gold,MoltenGold,
//Gold,GoldGas,
Gold Amalgam,GoldAmalgam,
Granite,Granite,
Graphite,Graphite,Spaced Out
//Helium,LiquidHelium,
//Helium,Helium,
//Hydrogen,SolidHydrogen,
//Hydrogen,LiquidHydrogen,
//Hydrogen,Hydrogen,
//Ice,Ice,
Igneous Rock,IgneousRock,
Insulation,SuperInsulator,
Iron,Iron,
//Iron,MoltenIron,
//Iron,IronGas,
Iron Ore,IronOre,
Isoresin,Isoresin,
Lead,Lead,
//Lead,MoltenLead,
//Lead,LeadGas,
//Lime,Lime,
//Liquid Sulfur,LiquidSulfur,
Mafic Rock,MaficRock,
//Magma,Magma,
//Mercury,SolidMercury,
//Mercury,Mercury,
//Mercury,MercuryGas,
//Methane,SolidMethane,
//Methane,LiquidMethane,
//MISSING.STRINGS.ELEMENTS.MOLTENSYNGAS.NAME,MoltenSyngas,
//MISSING.STRINGS.ELEMENTS.SOLIDSYNGAS.NAME,SolidSyngas,
//Mud,Mud,Spaced Out
//Naphtha,SolidNaphtha,
//Naphtha,Naphtha,
//Natural Gas,Methane,
//Neutronium,Unobtanium,
Niobium,Niobium,
//Niobium,MoltenNiobium,
//Niobium,NiobiumGas,
//Nuclear Fallout,Fallout,Spaced Out
//Nuclear Waste,NuclearWaste,Spaced Out
Obsidian,Obsidian,
//Oxygen,SolidOxygen,
//Oxygen,LiquidOxygen,
//Oxygen,Oxygen,
//Oxylite,OxyRock,
//Petroleum,SolidPetroleum,
//Petroleum,Petroleum,
//Phosphate Nodules,PhosphateNodules,
Phosphorite,Phosphorite,
//Phosphorus,Phosphorus,
//Phosphorus,LiquidPhosphorus,
//Phosphorus,PhosphorusGas,
Plastic,Polypropylene,
Polluted Dirt,ToxicSand,
//Polluted Ice,DirtyIce,
//Polluted Mud,ToxicMud,Spaced Out
//Polluted Oxygen,ContaminatedOxygen,
//Polluted Water,DirtyWater,
//Propane,SolidPropane,
//Propane,LiquidPropane,
//Propane,Propane,
Pyrite,FoolsGold,
//Radium,Radium,Spaced Out
Refined Carbon,RefinedCarbon,
Regolith,Regolith,
Resin,SolidResin,Spaced Out
Resin,Resin,Spaced Out
//Rock Gas,RockGas,
Rust,Rust,
Salt,Salt,
//Salt,MoltenSalt,
//Salt,SaltGas,
//Salt Water,SaltWater,
Sand,Sand,
//Sand Cement,SandCement,
Sandstone,SandStone,
Sedimentary Rock,SedimentaryRock,
//Slime,SlimeMold,
//Snow,Snow,
//Solid Nuclear Waste,SolidNuclearWaste,Spaced Out
//Sour Gas,SourGas,
//Steam,Steam,
Steel,Steel,
//Steel (Molten),MoltenSteel,
//Steel (Gas),SteelGas,
//Sucrose,Sucrose,Spaced Out
//Sucrose,MoltenSucrose,Spaced Out
//Sulfur,Sulfur,
//Sulfur,SulfurGas,
Super Coolant (Solid),SolidSuperCoolant,
Super Coolant,SuperCoolant,
Super Coolant (Gas),SuperCoolantGas,
//Synthesis Gas,Syngas,
Thermium,TempConductorSolid,
Tungsten,Tungsten,
//Tungsten,MoltenTungsten,
//Tungsten,TungstenGas,
//Uranium,MoltenUranium,Spaced Out
Uranium Ore,UraniumOre,Spaced Out
//Vacuum,Vacuum,
Visco-Gel,SolidViscoGel,
Visco-Gel,ViscoGel,
//Void,Void,
//Water,Water,
Wolframite,Wolframite,
//Yellowcake,Yellowcake,Spaced Out
